Move	gBattleTypeFlags	Run?
065E	1F501010	No
065F	038010B1	No
09AA	00000000	Yes
0CA5	12000000	Yes
0CA9	8B000000	Yes
0D15	D4000000	Yes
0E33	00000000	Yes
0E34	00000000	Yes
0E35	00000000	Yes
0E36	00000000	Yes
0E37	00000000	Yes
0E38	00000000	Yes
0E39	00000000	Yes
0E3A	00000000	Yes
0E9F	DB766400	Yes
101D	000004C4	Yes
1079	1F000000	Yes
113D	7F000000	Yes
113F	00000000	Yes
11F3	50326400	Yes
11F4	00000000	Yes
11F5	46000001	Maybe
11F6	00000020	Yes
1257	C9000005	Maybe
125A	01000035	No
1BFD	00000000	Yes
1EA3	00144445	Maybe
1EA4	00000000	Yes
1EA9	00000000	Yes
20BD	53205420	Yes
20BE	20522051	No
20C3	00040080	Yes
2437	04040440	Yes
2CE7	00000000	Yes
2CE8	00000000	Yes
2CE9	00000000	Yes
2CEA	00000000	Yes
2CEB	00000000	Yes
2CEC	00000000	Yes
2CED	00000000	Yes
2E5D	00000000	Yes
3516	00003444	Yes
38E7	44100000	Yes
3A0A	CB400041	Maybe
3EF9	00000000	Yes
3EFA	00000000	Yes
3EFB	00000000	Yes
3EFC	00000000	Yes
3EFD	00000000	Yes
3EFE	00000000	Yes
3FE8	44444444	Yes
427A	00000000	Yes
427B	00000000	Yes
427D	00000011	No
4280	00000000	Yes
44C1	00000000	Yes
44C2	00000000	Yes
44C3	00000000	Yes
44C4	00000000	Yes
44C5	00000000	Yes
44C8	44444444	Yes
45F3	00000000	Yes
45F4	00000000	Yes
45F5	00000000	Yes
45F6	00000000	Yes
45F7	00000000	Yes
45F8	00000000	Yes
45F9	00000000	Yes
4696	1D6600D0	No
6DB4	0C000000	Yes
6DB5	00502050	No
6DB7	14502000	Yes
6DB8	0C000000	Yes
6E18	00000000	Yes
6E1A	04005020	Yes
6E1D	A0000000	Yes
728D	00000000	Yes
73BC	00000000	Yes
743F	00000000	Yes
7440	00000000	Yes
762A	00000000	Yes
7630	00000000	Yes
7769	E4000000	Yes
776A	00000000	Yes
780C	00000000	Yes
78C0	00000000	Yes
7FCF	00000000	Yes
7FD0	00000000	Yes
863C	00000000	Yes
8762	00000000	Yes
88B0	00000000	Yes
88B5	F4000000	Yes
8D4D	C6000000	Yes
8E34	00000000	Yes
8EA9	00000000	Yes
8EAD	4E000000	Yes
8EAE	00000000	Yes
8F27	00000000	Yes
8F28	00000000	Yes
9154	00000000	Yes
92CD	00A000A0	Yes
961E	C2A20000	Yes
9BFE	04000400	Yes
A074	00000000	Yes
A075	00000000	Yes
A079	FF040004	Yes
A0B8	00000000	Yes
A0B9	00000000	Yes
A0BA	00000000	Yes
A18E	82A20000	Yes
A18F	00000000	Yes
A190	00000000	Yes
A329	AA000000	Yes
A32A	00000000	Yes
A598	00000000	Yes
A59D	82000000	Yes
A890	00000000	Yes
A9AB	00000000	Yes
A9AC	00000000	Yes
A9B0	00000000	Yes
A9B1	00000000	Yes
AB8C	00000000	Yes
AB8D	00000000	Yes
AC22	00000000	Yes
AD9C	00000000	Yes
AD9D	00000000	Yes
ADA1	AA000000	Yes
ADA2	00000000	Yes
AE3D	B4000000	Yes
BC5C	04703011	No
BC63	11301030	No
BCF9	D8301030	No
C088	04320431	No
C0CB	17041404	Yes
C4A9	73047030	No
C6F6	04140415	No
C95E	04B03001	Maybe
EB0A	00160000	Yes
