Species	inBoxMovingMode	Artifact	Move Items?
205D	94	Nothing	No
205E	08	Nothing	No
205F	25	Nothing	No
2060	75	Nothing	No
2061	8A	Nothing	No
2062	08	Nothing	No
2063	25	Nothing	No
2064	76	Nothing	No
2065	48	Nothing	No
2066	08	Nothing	No
2067	25	Nothing	No
2068	76	Nothing	No
2069	30	Nothing	No
206A	08	Nothing	No
206B	25	Nothing	No
206C	77	Nothing	No
206D	04	Nothing	No
206E	08	Nothing	No
206F	25	Nothing	No
2070	78	Nothing	No
2071	FC	Nothing	No
2072	08	Nothing	No
2073	25	Nothing	No
2074	79	Nothing	No
2075	DA	Invisible bad egg	No
2076	08	Invisible bad egg	No
2077	25	Invisible bad egg	No
2078	7A	Invisible bad egg	No
2079	E8	Bad egg	No
207A	08	Bad egg	No
207B	25	Bad egg	No
207C	7B	Bad egg	No
207D	F4	Bad egg	No
207E	08	Bad egg	No
207F	25	Bad egg	No
2080	7C	Bad egg	No
2081	FA	Bad egg	No
2082	08	Bad egg	No
2083	25	Bad egg	No
2084	7D	Bad egg	No
2086	08	Bad egg	No
2087	25	Bad egg	No
2088	7E	Bad egg	No
2089	14	Bad egg	No
208A	08	Bad egg	No
208B	25	Bad egg	No
208C	7F	Bad egg	No
208D	06	Bad egg	No
208E	08	Bad egg	No
208F	25	Bad egg	No
2090	80	Bad egg	No
2091	F6	Bad egg	No
2092	08	Bad egg	No
2093	25	Bad egg	No
2094	81	Bad egg	No
2095	F2	Bad egg	No
2096	08	Bad egg	No
2097	25	Bad egg	No
2098	82	Bad egg	No
2099	E2	Bad egg	No
209A	08	Bad egg	No
209B	25	Bad egg	No
209C	83	Bad egg	No
209D	CA	Bad egg	No
209E	08	Bad egg	No
209F	25	Bad egg	No
20A0	84	Bad egg	No
20A1	A4	Bad egg	No
20A2	08	Bad egg	No
20A3	25	Bad egg	No
20A4	85	Bad egg	No
20A5	A2	Bad egg	No
20A6	08	Bad egg	No
20A7	25	Bad egg	No
20A8	86	Bad egg	No
20A9	76	Bad egg	No
20AA	08	Bad egg	No
20AB	25	Bad egg	No
20AC	87	Bad egg	No
20AE	08	Bad egg	No
20AF	25	Bad egg	No
20B0	88	Bad egg	No
20B1	48	Bad egg	No
20B2	08	Bad egg	No
20B3	25	Bad egg	No
20B4	88	Bad egg	No
20B5	22	Bad egg	No
20B6	08	Bad egg	No
20B7	25	Bad egg	No
20B8	89	Bad egg	No
20B9	0C	Bad egg	No
20BA	08	Bad egg	No
20BB	25	Bad egg	No
20BC	8A	Bad egg	No
20BD	38	Bad egg	No
20BE	08	Bad egg	No
20BF	25	Bad egg	No
20C0	8A	Bad egg	No
20C1	64	Bad egg	No
20C2	08	Bad egg	No
20C3	25	Bad egg	No
20C4	8B	Bad egg	No
20C5	72	Bad egg	No
20C6	08	Bad egg	No
20C7	25	Bad egg	No
20C8	8C	Bad egg	No
20C9	4A	Bad egg	No
20CA	08	Bad egg	No
20CB	25	Bad egg	No
20CC	8C	Bad egg	No
20CD	30	Bad egg	No
20CE	08	Bad egg	No
20CF	25	Bad egg	No
20D0	8D	Bad egg	No
20D1	34	Bad egg	No
20D2	08	Bad egg	No
20D3	25	Bad egg	No
20D4	8F	Bad egg	No
20D5	44	Bad egg	No
20D6	08	Bad egg	No
20D7	25	Bad egg	No
20D8	90	Bad egg	No
20D9	62	Bad egg	No
20DA	08	Bad egg	No
20DB	25	Bad egg	No
20DC	91	Bad egg	No
20DD	80	Bad egg	No
20DE	08	Bad egg	No
20DF	25	Bad egg	No
20E0	92	Bad egg	No
20E1	A6	Bad egg	No
20E2	08	Bad egg	No
20E3	25	Bad egg	No
20E4	93	Bad egg	No
