Species	inBoxMovingMode	Artifact	Move Items?
205E	08	Nothing	No
205F	25	Nothing	No
2060	75	Nothing	No
2062	08	Nothing	No
2063	25	Nothing	No
2064	76	Nothing	No
2065	80	Nothing	No
2066	08	Nothing	No
2067	25	Nothing	No
2068	77	Nothing	No
2069	66	Nothing	No
206A	08	Nothing	No
206B	25	Nothing	No
206C	78	Nothing	No
206D	3E	Nothing	No
206E	08	Nothing	No
206F	25	Nothing	No
2070	78	Nothing	No
2071	34	Nothing	No
2072	08	Nothing	No
2073	25	Nothing	No
2074	79	Nothing	No
2075	0C	Invisible bad egg	No
2076	08	Invisible bad egg	No
2077	25	Invisible bad egg	No
2078	7A	Invisible bad egg	No
2079	18	Bad egg	No
207A	08	Bad egg	No
207B	25	Bad egg	No
207C	7B	Bad egg	No
207D	24	Bad egg	No
207E	08	Bad egg	No
207F	25	Bad egg	No
2080	7C	Bad egg	No
2081	30	Bad egg	No
2082	08	Bad egg	No
2083	25	Bad egg	No
2084	7D	Bad egg	No
2085	40	Bad egg	No
2086	08	Bad egg	No
2087	25	Bad egg	No
2088	7E	Bad egg	No
2089	46	Bad egg	No
208A	08	Bad egg	No
208B	25	Bad egg	No
208C	80	Bad egg	No
208D	38	Bad egg	No
208E	08	Bad egg	No
208F	25	Bad egg	No
2090	80	Bad egg	No
2091	30	Bad egg	No
2092	08	Bad egg	No
2093	25	Bad egg	No
2094	81	Bad egg	No
2095	24	Bad egg	No
2096	08	Bad egg	No
2097	25	Bad egg	No
2098	82	Bad egg	No
2099	16	Bad egg	No
209A	08	Bad egg	No
209B	25	Bad egg	No
209C	83	Bad egg	No
209D	FC	Bad egg	No
209E	08	Bad egg	No
209F	25	Bad egg	No
20A0	84	Bad egg	No
20A1	E2	Bad egg	No
20A2	08	Bad egg	No
20A3	25	Bad egg	No
20A4	85	Bad egg	No
20A5	D6	Bad egg	No
20A6	08	Bad egg	No
20A7	25	Bad egg	No
20A8	86	Bad egg	No
20A9	A8	Bad egg	No
20AA	08	Bad egg	No
20AB	25	Bad egg	No
20AC	87	Bad egg	No
20AD	A2	Bad egg	No
20AE	08	Bad egg	No
20AF	25	Bad egg	No
20B0	88	Bad egg	No
20B1	7C	Bad egg	No
20B2	08	Bad egg	No
20B3	25	Bad egg	No
20B4	89	Bad egg	No
20B5	5A	Bad egg	No
20B6	08	Bad egg	No
20B7	25	Bad egg	No
20B8	8A	Bad egg	No
20B9	54	Bad egg	No
20BA	08	Bad egg	No
20BB	25	Bad egg	No
20BC	8A	Bad egg	No
20BD	80	Bad egg	No
20BE	08	Bad egg	No
20BF	25	Bad egg	No
20C0	8A	Bad egg	No
20C1	AC	Bad egg	No
20C2	08	Bad egg	No
20C3	25	Bad egg	No
20C4	8B	Bad egg	No
20C5	9E	Bad egg	No
20C6	08	Bad egg	No
20C7	25	Bad egg	No
20C8	8C	Bad egg	No
20C9	80	Bad egg	No
20CA	08	Bad egg	No
20CB	25	Bad egg	No
20CC	8D	Bad egg	No
20CD	5E	Bad egg	No
20CE	08	Bad egg	No
20CF	25	Bad egg	No
20D0	8E	Bad egg	No
20D1	68	Bad egg	No
20D2	08	Bad egg	No
20D3	25	Bad egg	No
20D4	8F	Bad egg	No
20D5	78	Bad egg	No
20D6	08	Bad egg	No
20D7	25	Bad egg	No
20D8	90	Bad egg	No
20D9	92	Bad egg	No
20DA	08	Bad egg	No
20DB	25	Bad egg	No
20DC	91	Bad egg	No
20DD	B4	Bad egg	No
20DF	25	Bad egg	No
20E0	92	Bad egg	No
20E1	D4	Bad egg	No
20E2	08	Bad egg	No
20E3	25	Bad egg	No
20E4	93	Bad egg	No
20E6	08	Bad egg	No
20E7	25	Bad egg	No
20E8	94	Bad egg	No
20E9	F8	Bad egg	No
20EA	08	Bad egg	No
20EB	25	Bad egg	No
20EC	95	Bad egg	No
20ED	0A	Bad egg	No
20EE	08	Bad egg	No
20EF	25	Bad egg	No
20F0	96	Bad egg	No
20F1	08	Bad egg	No
20F2	08	Bad egg	No
20F3	25	Bad egg	No
20F4	FF	Bad egg	Yes
268A	20	Bad egg	No
268B	52	Bad egg	No
268C	20	Bad egg	No
268D	58	Bad egg	No
268E	20	Bad egg	No
268F	5B	Bad egg	No
2690	20	Bad egg	No
2691	51	Bad egg	No
2692	20	Bad egg	No
2693	59	Bad egg	No
2694	20	Bad egg	No
2695	5A	Bad egg	No
2696	20	Bad egg	No
2697	50	Bad egg	No
2699	FF	Bad egg	Yes
28E1	35	Bad egg	No
28E2	35	Bad egg	No
28E4	37	Bad egg	No
28E5	35	Invisible bad egg	No
28E8	37	Bad egg	No
28EA	35	Bad egg	No
28EB	35	Bad egg	No
28EC	35	Bad egg	No
28ED	35	Bad egg	No
28EE	35	Bad egg	No
28EF	36	Bad egg	No
