Pokemon	Word 1	Word 3
#001	SAPPHIRE	A LOT
#002	I CHOOSE YOU	A LOT
#003	I CHOOSE YOU	A LITTLE
#004	A TINY BIT	GET
#005	BACK	GETS
#006	GENIUS	LADY
#007	A TINY BIT	VERSION
#008	MACHINE	LACKS
#009	EASY	KID
#010	VACATION	CAPABLE
#011	A TINY BIT	I CHOOSE YOU
#012	CAN'T WIN	BABE
#013	CAN WIN	BABE
#014	I CHOOSE YOU	JUST
#015	MAIL	LACKS
#016	MACHINE	FABULOUS
#017	DANCE	CAME
#018	GENIUS	I WAS
#019	MACHINE	UNAVOIDABLE
#020	CAN'T	EARLIER
#021	HABIT	ABSENT
#022	BACK	SAD
#023	EARLIER	CAN
#024	FIGHTING	GO AHEAD
#025	SHADOW TAG	GO AHEAD
#026	CAN WIN	I
#027	CAN'T WIN	I
#028	BACK	GIDDY
#029	GENIUS	I AM
#030	A TINY BIT	BAG
#031	VACATION	TALKING
#032	MAGNET PULL	GO AHEAD
#033	EARLIER	A
#034	GENIUS	BABE
#035	HABIT	LACKS
#036	MAIL	TASTY
#037	SAND STREAM	GO AHEAD
#038	EARLIER	ABOUT
#039	HABIT	KIND
#040	RARE	UM
#041	HABIT	NATURAL
#042	I'VE	TAKE THAT
#043	VACATION	TEACH
#044	I AM	TALENT
#045	RARE	ABOVE
#046	GENIUS	HE
#047	BACK	WAIT
#048	BACK	ADORE
#049	DANCE	TALK
#050	CAN WIN	I AM
#051	CAN'T WIN	I AM
#052	BACK	EAT
#053	BACK	LACKING
#054	BACK	BAD
#055	BACK	HARD
#056	VACATION	CAME
#057	MAIL	ABSENT
#058	CAN WIN	KID
#059	HABIT	FABULOUS
#060	CAN'T WIN	I WAS
#061	BACK	CARE
#062	MACHINE	ABSENT
#063	NATURAL	NAME
#064	DANCE	FAINTED
#065	DANCE	FAINT
#066	OBLIVIOUS	I'VE ARRIVED
#067	OBLIVIOUS	PARDON
#068	WE'RE	TALENT
#069	OBLIVIOUS	SEE YA
#070	SEEK	MAGAZINE
#071	GO AHEAD	MARVEL SCALE
#072	OBLIVIOUS	GO AHEAD
#073	EFFECT SPORE	YES
#074	DANCE	TAKE
#075	YEAH	MAGMA ARMOR
#076	CLOUD NINE	GO AHEAD
#077	NORMAL	GO AHEAD
#078	THANKS	MAGMA ARMOR
#079	YES	MAGMA ARMOR
#080	EFFECT SPORE	GO AHEAD
#081	{PK}RS	GO AHEAD
#082	FIRE	GO AHEAD
#083	FLAME BODY	GO AHEAD
#084	MINUS	GO AHEAD
#085	OWN TEMPO	GO AHEAD
#086	{PK}RS	YEAH, YEAH
#087	IDOL	TAKE
#088	{PK}RS	THANK YOU
#089	YES	EARLY BIRD
#090	BACK	QUESTION
#091	BACK	UNDERSTAND
#092	HABIT	BADLY
#093	YEAH	EARLY BIRD
#094	YES	MARVEL SCALE
#095	SEES	CAMERA
#096	SEES	VACATION
#097	GO AHEAD	VITAL SPIRIT
#098	WE'RE	PARTNER
#099	VACATION	TAKE
#100	NO	VITAL SPIRIT
#101	PLANS	TAKE
#102	WE'VE	ACCEPT
#103	RIVAL	ACCEPT
#104	VACATION	FAINT
#105	VACATION	FAINTED
#106	MINUS	YAHOO
#107	EASY	WE'VE
#108	VACATION	ALLOW
#109	FLAME BODY	YAHOO
#110	EFFECT SPORE	YAHOO
#111	{PK}RS	YAHOO
#112	MAIL	BADLY
#113	DEEP	QUESTION
#114	YEAH	PATTERN
#115	YEAH	PICKUP
#116	GENIUS	OUR
#117	PARTY	BADLY
#118	OBLIVIOUS	YAHOO
#119	MACHINE	BADLY
#120	YES	VITAL SPIRIT
#121	THANKS	VITAL SPIRIT
#122	NEARLY	THAN
#123	NEARLY	ONCE
#124	YEAH	VITAL SPIRIT
#125	SEEK	NAP
#126	SEEK	ADVENTURE
#127	YEAH	CHLOROPHYLL
#128	ABOVE	BAD
#129	ABOVE	HARD
#130	FABULOUS	HABIT
#131	ABOVE	LACKING
#132	HARD	UM
#133	GET	UNDERSTOOD
#134	VOLT ABSORB	GO AHEAD
#135	GAME	KNOWS
#136	ELECTRIC	GO AHEAD
#137	DAMP	YEAH
#138	LAST	A
#139	DAILY	GIMME
#140	POISON POINT	GO AHEAD
#141	ABOUT	LAST
#142	ABOUT	FALL
#143	GAME	EATS
#144	GHOST	YAHOO
#145	KID	VICTORY
#146	KIND	BATH
#147	ABOVE	DANGER
#148	DAMP	GO AHEAD
#149	GET	RATHER
#150	LIMBER	GO AHEAD
